Character,Pinyin Romanization,Radical Components,Translation_Options,Structural Gene,RSM Mapping,Usage Frequency,Connected Chapters
又,yòu,null,"(even, still, yet) more, further, greater","Recursive addition","Iteration operator","Medium frequency","1"
眾,zhòng,null,"(is^^) all, every; (a, the) multitude, myriad","Collective multiplicity","Many-body system","Medium frequency","1"
門,mén,null,"(a, the) door, gate (way); portal, threshold","Gateway function","Transition space","Medium frequency","1,6"
聖人,shèng rén,null,"sage, wise person, saint","Consciousness from Origin Frame","Operating from O with perfect alignment","29 occurrences","Throughout"
無為,wú wéi,null,"non-action, non-forcing action","Perfect structural alignment","Operating from O with recursive harmony","Throughout","3,37,43,48,57,63,81"
治,zhì,"氵(water) + 台 (platform/stage)","governance, order, rule; heal","Water creating stable platform","Self-organizing systems","Medium frequency","3"
虛,xū,"虍 (tiger pattern) + 乚 (hidden/bent)","empty, void, vacant; receptive","Hidden power through emptiness","Quantum vacuum / spaciousness","Medium frequency","3,4,5"
實,shí,"宀 (roof/container) + 貫 (penetrating through)","full, solid, actual, real","Contained fullness allowing penetration","Particle states / actualized potential","Medium frequency","3"
橐籥,tuò yuè,null,"bellows, wind-box","Generative rhythmic emptiness","Quantum vacuum fluctuations","Low frequency","5"
芻狗,chú gǒu,"芻 (straw/grass) + 狗 (dog)","straw dogs, ritual objects","Sacred temporary forms","Virtual particles / temporary structures","Low frequency","5"
沖,chōng,"氵(water) + 中 (center/middle)","empty, hollow, rushing through center","Water flowing through center","Vacuum enabling field propagation","Medium frequency","4,5"
淵,yuān,"氵(water) + 𠬶 (deep/profound)","deep pool, abyss, profound","Unmeasurable depth","Quantum vacuum / infinite potential","Medium frequency","4"
湛,zhàn,"氵(water) + 甚 (extremely/very)","deep, clear, pure","Transparent medium","Space enabling transmission","Low frequency","4"
谷神,gǔ shén,"谷 (valley) + 神 (spirit/consciousness)","valley spirit, receptive awareness","Receptive consciousness generating","Emergent consciousness through receptivity","Low frequency","6"
玄牝,xuán pìn,"玄 (mysterious) + 牝 (female principle)","mysterious female, creative receptivity","Generative receptivity","Quantum fields / creative substrate","Low frequency","6"
根,gēn,"木 (tree/growth) + 艮 (mountain/stopping)","root, foundation, source","Growth from stable foundation","Root enabling condition","Medium frequency","6"
一,yī,null,"one, unity, singular","First distinction","P₁ (first paradox)","Very high frequency","42"
二,èr,null,"two, duality, pair","Complementary polarities","X-axis ↔ Y-axis","High frequency","2,42"
三,sān,null,"three, trinity, relationship","Dynamic mediation","Z-axis rotation / relationship","High frequency","42"
陰,yīn,null,"yin, receptive, contractive","Y-axis function","Constraining/focusing dimension","Medium frequency","42"
陽,yáng,null,"yang, active, expansive","X-axis function","Extending/expanding dimension","Medium frequency","42"
沖氣,chōng qì,"氵(water) + 中 (center) + 氣 (energy)","rushing/empty energy","Dynamic emptiness mediating","Z-axis harmonizing function","Low frequency","42"
和,hé,null,"harmony, peace, together","Dynamic harmony","Balanced relationship","Medium frequency","42"
反,fǎn,null,"return, reverse, opposite","Recursive cycling with difference","Z-axis rotation preserving paradox","High frequency","25,40"
弱,ruò,null,"weak, soft, yielding","Yielding to structure","Receptivity rather than force","High frequency","40,78"
混成,hún chéng,"混 (chaotic/complete) + 成 (completion)","chaotically complete","All potentials undifferentiated","P₀ state containing all expressions","Low frequency","25"
先,xiān,null,"before, prior, first","Temporal/logical precedence","Pre-cosmic substrate","Medium frequency","25"
寂,jì,null,"silent, quiet, still","Functional silence","Space-for-operation","Low frequency","25"
寥,liáo,null,"empty, vast, lonely","Functional vastness","Operational void","Low frequency","25"
獨立,dú lì,"獨 (alone) + 立 (stand)","standing alone, independent","Independence enabling manifestation","Universal constants","Low frequency","25"
不改,bù gǎi,"不 (not) + 改 (change)","without change, unchanging","Structural stability","Conservation principles","Low frequency","25"
周行,zhōu xíng,"周 (everywhere) + 行 (move)","moving everywhere","Omnipresent activity","Scale-invariant availability","Low frequency","25"
不殆,bù dài,"不 (not) + 殆 (exhausted)","without exhaustion","Never depleted","Infinite sustainability","Low frequency","25"
信言,xìn yán,"信 (truth/trust) + 言 (words)","truthful words","Truth transcending aesthetics","Structural accuracy over beauty","Low frequency","81"
美言,měi yán,"美 (beautiful) + 言 (words)","beautiful words","Aesthetic appeal","Rhetorical beauty","Low frequency","81"
善者,shàn zhě,"善 (good) + 者 (one who)","the good, virtuous ones","Structurally aligned beings","Those operating from principle","Low frequency","81"
辯,biàn,null,"debate, argue, distinguish","Argumentative discourse","Competitive reasoning","Low frequency","81"
知者,zhī zhě,"知 (know) + 者 (one who)","the knowing, wise ones","Deep understanding","Simple comprehensive knowledge","Low frequency","81"
博,bó,null,"broad, extensive, learned","Extensive learning","Complicated knowledge accumulation","Low frequency","81"
不積,bù jī,"不 (not) + 積 (accumulate)","not accumulating","Non-hoarding","Generative distribution","Low frequency","81"
利,lì,null,"benefit, profit, advantage","Beneficial function","Win-win-win outcomes","Medium frequency","81"
害,hài,null,"harm, damage, injure","Harmful dysfunction","Zero-sum destruction","Low frequency","81"
爭,zhēng,null,"compete, contend, struggle","Competition","Opposition to structure","Medium frequency","2,3,7,8,22,66,81"
